# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
      [NEW]     +66  [NEW]     +66    _enter_container
       +53%     +16   +53%     +16    nanocbor_put_bstr
       +42%     +16   +42%     +16    nanocbor_put_tstr
     -12.5%      -6 -12.5%      -6    nanocbor_at_end
      -6.1%      -8  -6.1%      -8    _skip_limited
     -16.7%      -8 -16.7%      -8    _skip_simple
      [DEL]     -36  [DEL]     -36    _put_bytes
     -67.5%     -54 -67.5%     -54    nanocbor_enter_map
     -90.9%     -60 -90.9%     -60    nanocbor_enter_array
      [DEL]     -88  [DEL]     -88    _get_and_advance_int32
    -1.7%    -522  -1.7%    -522    network
      [NEW]      +2  [NEW]      +2    enable.11742
      [NEW]      +1  [NEW]      +1    emcute_run
      [NEW]      +1  [NEW]      +1    nanocbor_fmt_array
      [DEL]      -1  [DEL]      -1    _version_handler
      [DEL]      -1  [DEL]      -1    cpu_init
      [DEL]      -1  [DEL]      -1    nanocoap_server
      [DEL]      -1  [DEL]      -1    pm_off
      [DEL]      -2  [DEL]      -2    enable.11834
     -25.0%      -2 -25.0%      -2    netdev_eth_set
      [DEL]      -8  [DEL]      -8    sock_udp_close
      [DEL]     -35  [DEL]     -35    inet_pton
      [DEL]     -42  [DEL]     -42    _parse_port
      [DEL]     -66  [DEL]     -66    _parse_netif
      [DEL]    -140  [DEL]    -140    sock_urlsplit
      [DEL]    -227  [DEL]    -227    sock_tl_str2ep
    [DEL] -2.23Ki  [DEL] -2.23Ki    coap
      [DEL]      -1  [DEL]      -1    nanocbor_fmt_array
      [DEL]     -34  [DEL]     -34    coap_find_option
      [DEL]     -36  [DEL]     -36    coap_blockwise_put_char
      [DEL]     -36  [DEL]     -36    coap_opt_put_uint
      [DEL]     -40  [DEL]     -40    coap_opt_put_block
      [DEL]     -46  [DEL]     -46    coap_get_block
      [DEL]     -46  [DEL]     -46    coap_match_path
      [DEL]     -50  [DEL]     -50    _encode_uint
      [DEL]     -54  [DEL]     -54    _slicer2blkopt
      [DEL]     -54  [DEL]     -54    coap_put_option
      [DEL]     -56  [DEL]     -56    coap_build_hdr
      [DEL]     -56  [DEL]     -56    coap_iterate_option
      [DEL]     -60  [DEL]     -60    coap_block2_init
      [DEL]     -60  [DEL]     -60    coap_handle_req
      [DEL]     -64  [DEL]     -64    coap_block2_build_reply
      [DEL]     -66  [DEL]     -66    _parse_option.isra.0
      [DEL]     -70  [DEL]     -70    coap_blockwise_put_bytes
      [DEL]     -72  [DEL]     -72    coap_block_finish
      [DEL]     -82  [DEL]     -82    _decode_value
      [DEL]     -86  [DEL]     -86    coap_get_blockopt
      [DEL]     -88  [DEL]     -88    coap_build_reply
      [DEL]     -90  [DEL]     -90    _put_delta_optlen
      [DEL]     -96  [DEL]     -96    coap_opt_put_string_with_len
      [DEL]    -100  [DEL]    -100    coap_reply_simple
      [DEL]    -102  [DEL]    -102    coap_opt_put_uri_pathquery
      [DEL]    -105  [DEL]    -105    nanocoap_server
      [DEL]    -106  [DEL]    -106    coap_opt_get_string
      [DEL]    -128  [DEL]    -128    coap_tree_handler
      [DEL]    -188  [DEL]    -188    coap_well_known_core_default_handler
      [DEL]    -208  [DEL]    -208    coap_parse
  +1.5%      +4  +1.8%      +4    .relocate
