cpu,ram,timestamp
0.000000,8.344307,1623148138
0.000000,8.339941,1623148139
0.000000,8.343620,1623148140
0.000000,8.344552,1623148141
0.000000,8.340235,1623148142
0.250000,8.341756,1623148143
0.000000,8.337389,1623148144
0.000000,8.343277,1623148145
0.500000,8.345338,1623148146
0.000000,8.344356,1623148147
0.000000,8.343669,1623148148
0.000000,8.350931,1623148149
0.000000,8.345779,1623148150
0.000000,8.350833,1623148151
0.000000,8.349410,1623148152
0.000000,8.351323,1623148153
0.000000,8.341461,1623148154
0.250000,8.346711,1623148155
0.250000,8.247309,1623148156
0.250000,8.245297,1623148157
0.750000,8.272233,1623148158
27.270000,8.375413,1623148159
21.640000,8.286118,1623148160
0.000000,8.294164,1623148161
0.000000,8.298924,1623148162
0.000000,8.300543,1623148163
1.750000,8.297452,1623148164
3.990000,8.312907,1623148165
3.270000,8.325271,1623148166
3.050000,8.337831,1623148167
4.250000,8.346908,1623148168
5.910000,8.364668,1623148169
4.510000,8.373500,1623148170
4.740000,8.382577,1623148171
4.030000,8.391555,1623148172
3.300000,8.408678,1623148173
4.750000,8.413045,1623148175
4.020000,8.409365,1623148176
4.030000,8.425949,1623148177
4.760000,8.437577,1623148178
5.000000,8.451265,1623148179
4.280000,8.464169,1623148180
5.710000,8.470645,1623148181
4.750000,8.484678,1623148182
4.280000,8.491301,1623148183
5.470000,8.500672,1623148184
4.790000,8.513036,1623148185
5.030000,8.526872,1623148186
4.520000,8.525744,1623148187
4.750000,8.528736,1623148188
5.240000,8.554102,1623148189
4.070000,8.557193,1623148190
5.030000,8.567251,1623148191
5.250000,8.578045,1623148192
1.500000,8.578634,1623148193
0.000000,8.579811,1623148194
0.000000,8.578143,1623148195
0.500000,8.578634,1623148196
0.000000,8.579517,1623148197
0.000000,8.583491,1623148198
0.500000,8.585306,1623148199
0.000000,8.582216,1623148200
0.000000,8.572108,1623148201
0.000000,8.575249,1623148202
0.000000,8.579125,1623148203
0.250000,8.582117,1623148204
0.000000,8.579026,1623148205
0.000000,8.578928,1623148206
0.000000,8.579321,1623148207
0.000000,8.576917,1623148208
0.000000,8.575739,1623148209
0.000000,8.571569,1623148210
0.500000,8.578928,1623148211
0.000000,8.578830,1623148212
0.000000,8.577653,1623148213
0.250000,8.577456,1623148214
0.000000,8.572648,1623148215
0.250000,8.567398,1623148216
0.000000,8.576034,1623148217
0.000000,8.572795,1623148218
0.250000,8.572795,1623148219
0.000000,8.573041,1623148220
0.000000,8.575494,1623148221
0.250000,8.578781,1623148222
0.000000,8.580008,1623148223
0.250000,8.580645,1623148224
0.000000,8.579615,1623148225
0.000000,8.575298,1623148226
0.000000,8.577898,1623148227
0.000000,8.580008,1623148228
0.000000,8.575592,1623148229
0.000000,8.574267,1623148230
0.250000,8.573090,1623148231
0.250000,8.574414,1623148232
0.000000,8.575543,1623148233
0.000000,8.570980,1623148234
0.000000,8.571814,1623148235
0.000000,8.575641,1623148236
0.000000,8.570980,1623148237
0.500000,8.580842,1623148238
0.000000,8.582951,1623148239
0.000000,8.583835,1623148240
0.000000,8.590017,1623148241
0.000000,8.586827,1623148242
0.250000,8.585356,1623148243
0.000000,8.584963,1623148244
0.250000,8.582363,1623148245
0.000000,8.576622,1623148246
0.000000,8.575592,1623148247
0.000000,8.580253,1623148248
0.000000,8.580596,1623148249
0.250000,8.582068,1623148250
0.000000,8.585356,1623148251
0.500000,8.584374,1623148252
0.250000,8.581529,1623148253
0.000000,8.578339,1623148254
0.250000,8.579959,1623148255
0.000000,8.583246,1623148256
0.000000,8.588741,1623148257
0.000000,8.590998,1623148258
0.500000,8.588790,1623148259
48.170000,10.551031,1623148260
74.940000,10.199345,1623148261
54.180000,8.866685,1623148262
0.000000,8.857216,1623148263
0.000000,8.859129,1623148264
0.500000,8.853094,1623148265
0.500000,8.662434,1623148266
0.000000,8.651689,1623148267
0.000000,8.651444,1623148268
0.250000,8.649923,1623148269
0.000000,8.647077,1623148270
0.250000,8.645066,1623148271
2.990000,8.661796,1623148272
0.250000,8.681863,1623148273
2.260000,8.715472,1623148274
0.000000,8.717140,1623148275
0.500000,8.616756,1623148276
0.000000,8.600271,1623148277
0.750000,8.613174,1623148278
0.000000,8.608612,1623148279
0.000000,8.602822,1623148280
0.250000,8.606845,1623148281
0.000000,8.608661,1623148282
0.250000,8.599191,1623148283
0.000000,8.597180,1623148284
0.000000,8.595708,1623148285
0.000000,8.594236,1623148286
0.000000,8.596100,1623148287
0.250000,8.600565,1623148288
0.000000,8.602184,1623148289
1.000000,8.607336,1623148290
1.000000,8.606894,1623148291
0.250000,8.600467,1623148292
0.000000,8.605324,1623148293
0.000000,8.602086,1623148294
0.000000,8.608661,1623148295
3.760000,8.611948,1623148296
0.250000,8.608955,1623148297
0.500000,8.615284,1623148298
0.000000,8.611506,1623148299
0.000000,8.602969,1623148300
0.250000,8.596836,1623148301
1.760000,8.597523,1623148302
2.800000,8.596738,1623148303
3.540000,8.601203,1623148304
4.990000,8.593942,1623148305
4.300000,8.595266,1623148306
4.760000,8.598554,1623148307
5.000000,8.599731,1623148308
5.470000,8.591979,1623148309
5.740000,8.603215,1623148310
5.030000,8.604098,1623148311
5.760000,8.599486,1623148312
4.550000,8.605472,1623148313
5.750000,8.603951,1623148314
5.510000,8.602724,1623148315
