1550143963.0567539	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0593019	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0612128	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0630186	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0650632	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0731034	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0751274	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0773647	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0798783	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.082437	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.085042	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0874712	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.094351	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.096383	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0984201	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1010718	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1036298	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.106286	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1088724	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1114314	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1176612	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.119688	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1217175	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1241422	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1265519	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.129101	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1314335	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1401303	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1421318	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1446176	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.147166	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1495464	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.152191	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1546593	8442	66	61	14	-4	264	0	17139	14	-6
